"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","(default)","src/SimpleWebServer.java","3","1","CommentSize: Comment is too large: Too many lines","Documentation","CommentSize"
"2","(default)","src/SimpleWebServer.java","3","1","CommentSize: Comment is too large: Too many lines","Documentation","CommentSize"
"3","(default)","src/SimpleWebServer.java","3","18","NoPackage: All classes, interfaces, enums and annotations must belong to a named package","Code Style","NoPackage"
"4","(default)","src/SimpleWebServer.java","3","18","NoPackage: All classes, interfaces, enums and annotations must belong to a named package","Code Style","NoPackage"
"5","(default)","src/SimpleWebServer.java","3","21","CommentRequired: Field comments are required","Documentation","CommentRequired"
"6","(default)","src/SimpleWebServer.java","3","21","CommentRequired: Field comments are required","Documentation","CommentRequired"
"7","(default)","src/SimpleWebServer.java","3","25","CommentRequired: Field comments are required","Documentation","CommentRequired"
"8","(default)","src/SimpleWebServer.java","3","25","CommentRequired: Field comments are required","Documentation","CommentRequired"
"9","(default)","src/SimpleWebServer.java","3","27","CommentRequired: Public method and constructor comments are required","Documentation","CommentRequired"
"10","(default)","src/SimpleWebServer.java","3","27","CommentRequired: Public method and constructor comments are required","Documentation","CommentRequired"
"11","(default)","src/SimpleWebServer.java","3","27","SignatureDeclareThrowsException: A method/constructor should not explicitly throw java.lang.Exception","Design","SignatureDeclareThrowsException"
"12","(default)","src/SimpleWebServer.java","3","27","SignatureDeclareThrowsException: A method/constructor should not explicitly throw java.lang.Exception","Design","SignatureDeclareThrowsException"
"13","(default)","src/SimpleWebServer.java","3","28","AssignmentToNonFinalStatic: Possible unsafe assignment to a non-final static field in a constructor.","Error Prone","AssignmentToNonFinalStatic"
"14","(default)","src/SimpleWebServer.java","3","28","AssignmentToNonFinalStatic: Possible unsafe assignment to a non-final static field in a constructor.","Error Prone","AssignmentToNonFinalStatic"
"15","(default)","src/SimpleWebServer.java","3","31","CommentRequired: Public method and constructor comments are required","Documentation","CommentRequired"
"16","(default)","src/SimpleWebServer.java","3","31","CommentRequired: Public method and constructor comments are required","Documentation","CommentRequired"
"17","(default)","src/SimpleWebServer.java","3","31","SignatureDeclareThrowsException: A method/constructor should not explicitly throw java.lang.Exception","Design","SignatureDeclareThrowsException"
"18","(default)","src/SimpleWebServer.java","3","31","SignatureDeclareThrowsException: A method/constructor should not explicitly throw java.lang.Exception","Design","SignatureDeclareThrowsException"
"19","(default)","src/SimpleWebServer.java","3","34","CloseResource: Ensure that resources like this Socket object are closed after use","Error Prone","CloseResource"
"20","(default)","src/SimpleWebServer.java","3","34","CloseResource: Ensure that resources like this Socket object are closed after use","Error Prone","CloseResource"
"21","(default)","src/SimpleWebServer.java","3","34","LocalVariableCouldBeFinal: Local variable 's' could be declared final","Code Style","LocalVariableCouldBeFinal"
"22","(default)","src/SimpleWebServer.java","3","34","LocalVariableCouldBeFinal: Local variable 's' could be declared final","Code Style","LocalVariableCouldBeFinal"
"23","(default)","src/SimpleWebServer.java","3","34","ShortVariable: Avoid variables with short names like s","Code Style","ShortVariable"
"24","(default)","src/SimpleWebServer.java","3","34","ShortVariable: Avoid variables with short names like s","Code Style","ShortVariable"
"25","(default)","src/SimpleWebServer.java","3","44","CommentRequired: Public method and constructor comments are required","Documentation","CommentRequired"
"26","(default)","src/SimpleWebServer.java","3","44","CommentRequired: Public method and constructor comments are required","Documentation","CommentRequired"
"27","(default)","src/SimpleWebServer.java","3","44","MethodArgumentCouldBeFinal: Parameter 's' is not assigned and could be declared final","Code Style","MethodArgumentCouldBeFinal"
"28","(default)","src/SimpleWebServer.java","3","44","MethodArgumentCouldBeFinal: Parameter 's' is not assigned and could be declared final","Code Style","MethodArgumentCouldBeFinal"
"29","(default)","src/SimpleWebServer.java","3","44","ShortVariable: Avoid variables with short names like s","Code Style","ShortVariable"
"30","(default)","src/SimpleWebServer.java","3","44","ShortVariable: Avoid variables with short names like s","Code Style","ShortVariable"
"31","(default)","src/SimpleWebServer.java","3","44","SignatureDeclareThrowsException: A method/constructor should not explicitly throw java.lang.Exception","Design","SignatureDeclareThrowsException"
"32","(default)","src/SimpleWebServer.java","3","44","SignatureDeclareThrowsException: A method/constructor should not explicitly throw java.lang.Exception","Design","SignatureDeclareThrowsException"
"33","(default)","src/SimpleWebServer.java","3","46","CloseResource: Ensure that resources like this InputStreamReader object are closed after use","Error Prone","CloseResource"
"34","(default)","src/SimpleWebServer.java","3","46","CloseResource: Ensure that resources like this InputStreamReader object are closed after use","Error Prone","CloseResource"
"35","(default)","src/SimpleWebServer.java","3","46","LocalVariableCouldBeFinal: Local variable 'br' could be declared final","Code Style","LocalVariableCouldBeFinal"
"36","(default)","src/SimpleWebServer.java","3","46","LocalVariableCouldBeFinal: Local variable 'br' could be declared final","Code Style","LocalVariableCouldBeFinal"
"37","(default)","src/SimpleWebServer.java","3","46","ShortVariable: Avoid variables with short names like br","Code Style","ShortVariable"
"38","(default)","src/SimpleWebServer.java","3","46","ShortVariable: Avoid variables with short names like br","Code Style","ShortVariable"
"39","(default)","src/SimpleWebServer.java","3","51","CloseResource: Ensure that resources like this OutputStreamWriter object are closed after use","Error Prone","CloseResource"
"40","(default)","src/SimpleWebServer.java","3","51","CloseResource: Ensure that resources like this OutputStreamWriter object are closed after use","Error Prone","CloseResource"
"41","(default)","src/SimpleWebServer.java","3","51","LocalVariableCouldBeFinal: Local variable 'osw' could be declared final","Code Style","LocalVariableCouldBeFinal"
"42","(default)","src/SimpleWebServer.java","3","51","LocalVariableCouldBeFinal: Local variable 'osw' could be declared final","Code Style","LocalVariableCouldBeFinal"
"43","(default)","src/SimpleWebServer.java","3","55","LocalVariableCouldBeFinal: Local variable 'request' could be declared final","Code Style","LocalVariableCouldBeFinal"
"44","(default)","src/SimpleWebServer.java","3","55","LocalVariableCouldBeFinal: Local variable 'request' could be declared final","Code Style","LocalVariableCouldBeFinal"
"45","(default)","src/SimpleWebServer.java","5","57","DataflowAnomalyAnalysis: Found 'DD'-anomaly for variable 'command' (lines '57'-'64').","Error Prone","DataflowAnomalyAnalysis"
"46","(default)","src/SimpleWebServer.java","5","57","DataflowAnomalyAnalysis: Found 'DD'-anomaly for variable 'command' (lines '57'-'64').","Error Prone","DataflowAnomalyAnalysis"
"47","(default)","src/SimpleWebServer.java","3","57","UnusedAssignment: The initializer for variable 'command' is never used (overwritten on line 64)","Best Practices","UnusedAssignment"
"48","(default)","src/SimpleWebServer.java","3","57","UnusedAssignment: The initializer for variable 'command' is never used (overwritten on line 64)","Best Practices","UnusedAssignment"
"49","(default)","src/SimpleWebServer.java","5","58","DataflowAnomalyAnalysis: Found 'DD'-anomaly for variable 'pathname' (lines '58'-'65').","Error Prone","DataflowAnomalyAnalysis"
"50","(default)","src/SimpleWebServer.java","5","58","DataflowAnomalyAnalysis: Found 'DD'-anomaly for variable 'pathname' (lines '58'-'65').","Error Prone","DataflowAnomalyAnalysis"
"51","(default)","src/SimpleWebServer.java","3","58","UnusedAssignment: The initializer for variable 'pathname' is never used (overwritten on line 65)","Best Practices","UnusedAssignment"
"52","(default)","src/SimpleWebServer.java","3","58","UnusedAssignment: The initializer for variable 'pathname' is never used (overwritten on line 65)","Best Practices","UnusedAssignment"
"53","(default)","src/SimpleWebServer.java","3","61","LocalVariableCouldBeFinal: Local variable 'st' could be declared final","Code Style","LocalVariableCouldBeFinal"
"54","(default)","src/SimpleWebServer.java","3","61","LocalVariableCouldBeFinal: Local variable 'st' could be declared final","Code Style","LocalVariableCouldBeFinal"
"55","(default)","src/SimpleWebServer.java","3","61","ShortVariable: Avoid variables with short names like st","Code Style","ShortVariable"
"56","(default)","src/SimpleWebServer.java","3","61","ShortVariable: Avoid variables with short names like st","Code Style","ShortVariable"
"57","(default)","src/SimpleWebServer.java","5","65","DataflowAnomalyAnalysis: Found 'DU'-anomaly for variable 'pathname' (lines '65'-'82').","Error Prone","DataflowAnomalyAnalysis"
"58","(default)","src/SimpleWebServer.java","5","65","DataflowAnomalyAnalysis: Found 'DU'-anomaly for variable 'pathname' (lines '65'-'82').","Error Prone","DataflowAnomalyAnalysis"
"59","(default)","src/SimpleWebServer.java","3","67","LawOfDemeter: Potential violation of Law of Demeter (object not created locally)","Design","LawOfDemeter"
