"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","(default)","src/AreaP.java","3","3","CommentRequired: Class comments are required","Documentation","CommentRequired"
"2","(default)","src/AreaP.java","3","3","CommentRequired: Class comments are required","Documentation","CommentRequired"
"3","(default)","src/AreaP.java","3","3","NoPackage: All classes, interfaces, enums and annotations must belong to a named package","Code Style","NoPackage"
"4","(default)","src/AreaP.java","3","3","NoPackage: All classes, interfaces, enums and annotations must belong to a named package","Code Style","NoPackage"
"5","(default)","src/AreaP.java","3","3","UseUtilityClass: All methods are static.  Consider using a utility class instead. Alternatively, you could add a private constructor or make the class abstract to silence this warning.","Design","UseUtilityClass"
"6","(default)","src/AreaP.java","3","3","UseUtilityClass: All methods are static.  Consider using a utility class instead. Alternatively, you could add a private constructor or make the class abstract to silence this warning.","Design","UseUtilityClass"
"7","(default)","src/AreaP.java","3","4","CommentRequired: Public method and constructor comments are required","Documentation","CommentRequired"
"8","(default)","src/AreaP.java","3","4","CommentRequired: Public method and constructor comments are required","Documentation","CommentRequired"
"9","(default)","src/AreaP.java","3","4","MethodArgumentCouldBeFinal: Parameter 'args' is not assigned and could be declared final","Code Style","MethodArgumentCouldBeFinal"
"10","(default)","src/AreaP.java","3","4","MethodArgumentCouldBeFinal: Parameter 'args' is not assigned and could be declared final","Code Style","MethodArgumentCouldBeFinal"
"11","(default)","src/AreaP.java","3","6","ShortVariable: Avoid variables with short names like br","Code Style","ShortVariable"
"12","(default)","src/AreaP.java","3","6","ShortVariable: Avoid variables with short names like br","Code Style","ShortVariable"
"13","(default)","src/AreaP.java","3","7","ShortVariable: Avoid variables with short names like ar","Code Style","ShortVariable"
"14","(default)","src/AreaP.java","3","7","ShortVariable: Avoid variables with short names like ar","Code Style","ShortVariable"
"15","(default)","src/AreaP.java","3","8","CloseResource: Ensure that resources like this InputStream object are closed after use","Error Prone","CloseResource"
"16","(default)","src/AreaP.java","3","8","CloseResource: Ensure that resources like this InputStream object are closed after use","Error Prone","CloseResource"
"17","(default)","src/AreaP.java","3","8","LocalVariableCouldBeFinal: Local variable 'sc' could be declared final","Code Style","LocalVariableCouldBeFinal"
"18","(default)","src/AreaP.java","3","8","LocalVariableCouldBeFinal: Local variable 'sc' could be declared final","Code Style","LocalVariableCouldBeFinal"
"19","(default)","src/AreaP.java","3","8","ShortVariable: Avoid variables with short names like sc","Code Style","ShortVariable"
"20","(default)","src/AreaP.java","3","8","ShortVariable: Avoid variables with short names like sc","Code Style","ShortVariable"
"21","(default)","src/AreaP.java","2","9","SystemPrintln: System.out.println is used","Best Practices","SystemPrintln"
"22","(default)","src/AreaP.java","2","9","SystemPrintln: System.out.println is used","Best Practices","SystemPrintln"
"23","(default)","src/AreaP.java","2","14","SystemPrintln: System.out.println is used","Best Practices","SystemPrintln"
"24","(default)","src/AreaP.java","2","14","SystemPrintln: System.out.println is used","Best Practices","SystemPrintln"
